Individual	Parent1	Parent2	Pedigree
B._H._Manchu	Manchu	-	( B._H._Manchu ( Manchu ( PI_30593 , - ) , - ) )
B04-7820	LG92-4208	LG94-1128	( B04-7820 ( LG92-4208 ( LG84-1269 ( PI_227333 , PI_91730_-1 ) , Chamberlain ) , LG94-1128 ( LG85-3343 ( PI_361064 , PI_407710 ) , LG87-1991 ( PI_189930 , PI_68600 ) ) ) )
B05-8046	Loda	LG93-7054	( B05-8046 ( Loda , LG93-7054 ( LG85-3343 ( PI_361064 , PI_407710 ) , Northrup_King_S42-30 ) ) )
B186	Corsoy	Wayne	( B186 ( Corsoy , Wayne ) )
B217809	X9054	Asgrow_A5403	( B217809 ( X9054 ( Coker_156 ( Dare , D64-3937 ( Hill , D59-1619 ) ) , Nathan ) , Asgrow_A5403 ) )
B242	Hampton_266	Wells	( B242 ( Hampton_266 ( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee ) , Wells ) )
B51152	Pioneer_P9584	Syngenta_S59-60	( B51152 ( Pioneer_P9584 , Syngenta_S59-60 ) )
B640235	Asgrow_A4715	CM428	( B640235 ( Asgrow_A4715 , CM428 ) )
BA017536	X9855	Pioneer_P9552	( BA017536 ( X9855 , Pioneer_P9552 ) )
BA018212	Carver	Syngenta_S80-J2	( BA018212 ( Carver , Syngenta_S80-J2 ) )
BA743303	Asgrow_A5885	B217809	( BA743303 ( Asgrow_A5885 ( Asgrow_X5512 , Asgrow_X5803 ) , B217809 ( X9054 ( Coker_156 ( Dare , D64-3937 ( Hill , D59-1619 ) ) , Nathan ) , Asgrow_A5403 ) ) )
BA847094	DPL_3519s	Syngenta_S59-V6	( BA847094 ( DPL_3519s , Syngenta_S59-V6 ) )
BA914285	B821241	Pioneer_P9662	( BA914285 ( B821241 , Pioneer_P9662 ) )
BARC-6	CX797-21	D76-8070	( BARC-6 ( CX797-21 , D76-8070 ) )
BARC-7	CX797-21	D80-6931	( BARC-7 ( CX797-21 , D80-6931 ) )
BC3467878	Pioneer_P95Y10	W4-4	( BC3467878 ( Pioneer_P95Y10 , W4-4 ) )
BC38467881	Pioneer_P94Y61	W4-4	( BC38467881 ( Pioneer_P94Y61 , W4-4 ) )
BC41267383	Pioneer_P95Y10	BC38467878	( BC41267383 ( Pioneer_P95Y10 , BC38467878 ) )
BC41267385	Pioneer_P94Y61	BC38467881	( BC41267385 ( Pioneer_P94Y61 , BC38467881 ( Pioneer_P94Y61 , W4-4 ) ) )
BC45036483	Pioneer_P95Y10	BC41267383	( BC45036483 ( Pioneer_P95Y10 , BC41267383 ( Pioneer_P95Y10 , BC38467878 ) ) )
BC45036488	Pioneer_P94Y61	BC41267385	( BC45036488 ( Pioneer_P94Y61 , BC41267385 ( Pioneer_P94Y61 , BC38467881 ( Pioneer_P94Y61 , W4-4 ) ) ) )
BN0800007	WW115926	99702-B02-58205	( BN0800007 ( WW115926 , 99702-B02-58205 ( B3491N , AP2952N ) ) )
BSR_201	Pride_B216	AX901-40-2	( BSR_201 ( Pride_B216 ( Corsoy , Wayne ) , AX901-40-2 ( Beeson , AP68-1022 ) ) )
BT_2585	CM137	CM304-21	( BT_2585 ( CM137 , CM304-21 ) )
BT_2877	Beeson	Williams_79	( BT_2877 ( Beeson , Williams_79 ) )
BV-4	T135	PI_83945-4	( BV-4 ( T135 ( Illini ( A.K. , - ) , - ) , PI_83945-4 ) )
BY0800071	BA914285	N97-9658	( BY0800071 ( BA914285 ( B821241 , Pioneer_P9662 ) , N97-9658 ( N90-7199 , Cook ) ) )
BY0800148	BA017536	Ozark	( BY0800148 ( BA017536 ( X9855 , Pioneer_P9552 ) , Ozark ) )
BY0800231	Lonoke	BA914285	( BY0800231 ( Lonoke , BA914285 ( B821241 , Pioneer_P9662 ) ) )
Bass	BSR_301	Essex	( Bass ( BSR_301 , Essex ) )
Bavender_Special	Mukden	-	( Bavender_Special ( Mukden ( PI_50523 , - ) , - ) )
Bavender_Special-2	Bavender_Special	-	( Bavender_Special-2 ( Bavender_Special ( Mukden ( PI_50523 , - ) , - ) , - ) )
Beechwood	S58-544	Merit	( Beechwood ( S58-544 , Merit ) )
Beeson_80	Beeson	Arksoy	( Beeson_80 ( Beeson , Arksoy ( PI_35335 , - ) ) )
Bellatti_L-263	Bavender_Special	-	( Bellatti_L-263 ( Bavender_Special ( Mukden ( PI_50523 , - ) , - ) , - ) )
Bienville	Pelican_#2	Ogden	( Bienville ( Pelican_#2 , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) )
Bilomi_No._3	PI_240664	-	( Bilomi_No._3 ( PI_240664 , - ) )
Biloxi	PI_23211	-	( Biloxi ( PI_23211 , - ) )
Boggs_RR	Boggs	MON_RR	( Boggs_RR ( Boggs , MON_RR ) )
Boone	PI_54563-3	-	( Boone ( PI_54563-3 , - ) )
Brookings	A00-711063	SD98-595	( Brookings ( A00-711063 ( Pioneer_P9233 , A95-485020 ) , SD98-595 ( Kato , Asgrow_A1929 ) ) )
Brooks	Bragg	Hood	( Brooks ( Bragg , Hood ) )
Burdette_#12	Ogden	-	( Burdette_#12 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , - ) )
Burdette_#13	Arksoy	-	( Burdette_#13 ( Arksoy ( PI_35335 , - ) , - ) )
Burdette_#19	Arksoy	-	( Burdette_#19 ( Arksoy ( PI_35335 , - ) , - ) )
Burdette_#20	Arksoy	-	( Burdette_#20 ( Arksoy ( PI_35335 , - ) , - ) )
Burlison	K74-113-76-486	Century	( Burlison ( K74-113-76-486 , Century ) )
